"date","price"
"2021-06-27","21000.00"
"2021-06-28","21000.00"
"2021-06-29","21000.00"
"2021-06-30","21000.00"
"2021-07-01","21000.00"
"2021-07-02","21000.00"
"2021-07-05","20000.00"
"2021-07-06","20000.00"
"2021-07-07","20000.00"
"2021-07-08","21000.00"
"2021-07-09","22000.00"
"2021-07-10","22000.00"
"2021-07-11","22000.00"
"2021-07-12","22000.00"
"2021-07-13","23000.00"
"2021-07-14","23000.00"
"2021-07-15","23000.00"
"2021-07-16","22000.00"
"2021-07-18","22000.00"
"2021-07-19","22000.00"
"2021-07-20","24000.00"
"2021-07-21","24000.00"
"2021-07-22","24000.00"
"2021-07-23","24000.00"
"2021-07-24","24000.00"
"2021-07-25","24000.00"
"2021-07-26","24000.00"
"2021-07-27","24000.00"
"2021-07-28","24000.00"
"2021-07-29","24000.00"
"2021-07-30","22000.00"
"2021-07-31","22000.00"
"2021-08-01","22000.00"
"2021-08-02","20000.00"
"2021-08-03","20000.00"
"2021-08-04","20000.00"
"2021-08-05","20000.00"
"2021-08-06","20000.00"
"2021-08-07","20000.00"
"2021-08-08","19000.00"
"2021-08-09","19000.00"
"2021-08-10","19000.00"
"2021-08-11","18000.00"
"2021-08-13","16000.00"
"2021-08-14","16000.00"
"2021-08-15","16000.00"
"2021-08-16","15000.00"
"2021-08-17","14000.00"
"2021-08-18","14000.00"
"2021-08-19","13000.00"
"2021-08-20","13000.00"
"2021-08-21","13000.00"
"2021-08-22","14000.00"
"2021-08-23","14000.00"
"2021-08-24","14000.00"
"2021-08-25","14000.00"
"2021-08-26","14000.00"
"2021-08-30","17000.00"
"2021-08-31","17000.00"
"2021-09-01","17000.00"
"2021-09-02","17000.00"
"2021-09-03","17000.00"
"2021-09-04","16000.00"
"2021-09-05","17000.00"
"2021-09-06","17000.00"
"2021-09-07","17000.00"
"2021-09-08","17000.00"
"2021-09-09","17000.00"
"2021-09-10","18000.00"
"2021-09-11","18000.00"
"2021-09-12","18000.00"
"2021-09-13","18000.00"
"2021-09-14","18000.00"
"2021-09-15","17000.00"
"2021-09-16","17000.00"
"2021-09-17","17000.00"
"2021-09-18","17000.00"
"2021-09-19","17000.00"
"2021-09-20","17000.00"
"2021-09-21","17000.00"
"2021-09-22","17000.00"
"2021-09-23","17000.00"
"2021-09-24","15000.00"
"2021-09-25","15000.00"
"2021-09-27","15000.00"
"2021-09-28","16000.00"
"2021-09-29","16000.00"
"2021-09-30","16000.00"
"2021-10-01","16000.00"
"2021-10-04","15000.00"
"2021-10-05","15000.00"
"2021-10-06","16000.00"
"2021-10-07","16000.00"
"2021-10-08","16000.00"
"2021-10-09","16000.00"
"2021-10-10","17000.00"
"2021-10-11","17000.00"
"2021-10-12","18000.00"
"2021-10-13","18000.00"
"2021-10-14","18000.00"
"2021-10-15","17000.00"
"2021-10-16","17000.00"
"2021-10-18","16000.00"
"2021-10-19","15000.00"
"2021-10-20","15000.00"
"2021-10-21","15000.00"
"2021-10-22","14000.00"
"2021-10-23","14000.00"
"2021-10-24","14000.00"
"2021-10-25","14000.00"
"2021-10-27","13000.00"
"2021-10-28","11000.00"
"2021-10-29","11000.00"
"2021-11-01","11000.00"
"2021-11-02","11000.00"
"2021-11-03","11000.00"
"2021-11-04","11000.00"
"2021-11-05","12000.00"
"2021-11-08","12000.00"
"2021-11-09","12000.00"
"2021-11-10","12000.00"
"2021-11-11","10000.00"
"2021-11-12","10000.00"
"2021-11-13","9000.00"
"2021-11-14","8000.00"
"2021-11-15","8000.00"
"2021-11-16","8000.00"
"2021-11-17","9500.00"
"2021-11-18","9500.00"
"2021-11-19","9000.00"
"2021-11-20","9000.00"
"2021-11-21","9000.00"
"2021-11-22","9000.00"
"2021-11-23","9000.00"
"2021-11-24","9000.00"
"2021-11-25","9000.00"
"2021-11-29","9000.00"
"2021-11-30","9000.00"
"2021-12-01","10000.00"
"2021-12-02","11000.00"
"2021-12-03","11000.00"
